time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
196.000,3,37,0,38,26.51,22.00,25.00,0,a3
196.000,20,37,0,38,35.31,22.00,25.00,0,a3
197.000,3,37,0,38,29.14,22.00,25.00,0,a3
197.000,11,37,0,38,44.11,22.00,25.00,1,a3
198.000,3,37,0,38,38.82,22.00,25.00,0,a3
198.000,20,1,0,2,36.82,22.00,25.00,0,a3
198.000,24,1,0,2,31.76,22.00,25.00,0,a3
199.000,20,1,0,2,42.12,22.00,25.00,0,a3
199.000,25,37,0,38,53.77,25.00,28.00,1,a3
200.000,11,1,0,2,40.19,22.00,25.00,0,a3
201.000,11,1,0,2,37.68,22.00,25.00,0,a3
201.000,20,1,0,2,39.00,22.00,25.00,0,a3
202.000,11,1,0,2,41.14,22.00,25.00,1,a3
203.000,25,1,0,2,57.16,25.00,28.00,1,a3
203.000,26,37,0,38,44.78,22.00,25.00,0,a3
203.000,38,37,0,38,37.62,22.00,25.00,0,a3
204.000,3,1,0,2,33.43,22.00,25.00,0,a3
204.000,20,1,0,2,33.73,22.00,25.00,0,a3
205.000,3,37,0,38,38.42,22.00,25.00,1,a3
206.000,11,1,0,2,34.59,22.00,25.00,1,a3
206.000,20,1,0,2,39.04,22.00,25.00,0,a3
208.000,3,1,0,2,33.80,22.00,25.00,0,a3
208.000,11,37,0,38,44.87,22.00,25.00,0,a3
209.000,11,37,0,38,47.54,22.00,25.00,0,a3
210.000,11,37,0,38,38.89,22.00,25.00,0,a3
210.000,22,36,0,37,35.48,22.00,25.00,0,a3
211.000,22,36,0,37,38.81,22.00,25.00,0,a3
211.000,24,37,0,38,33.93,18.00,21.00,0,a3
213.000,11,37,0,38,39.20,22.00,25.00,0,a3
214.000,20,1,0,2,36.40,22.00,25.00,1,a3
214.000,25,37,0,38,51.38,25.00,28.00,1,a3
215.000,11,37,0,38,37.23,22.00,25.00,0,a3
215.000,26,37,0,38,38.87,22.00,25.00,0,a3
217.000,20,37,0,38,34.80,22.00,25.00,0,a3
217.000,25,1,0,2,60.22,25.00,28.00,1,a3
218.000,11,1,0,2,36.20,22.00,25.00,1,a3
218.000,40,36,0,37,34.22,22.00,25.00,0,a3
219.000,11,37,0,38,40.37,22.00,25.00,0,a3
219.000,20,1,0,2,40.15,22.00,25.00,0,a3
220.000,11,37,0,38,34.93,22.00,25.00,1,a3
220.000,20,37,0,38,37.85,22.00,25.00,0,a3
221.000,11,1,0,2,39.15,22.00,25.00,0,a3
222.000,11,1,0,2,35.32,22.00,25.00,0,a3
223.000,20,37,0,38,36.99,22.00,25.00,0,a3
223.000,22,1,0,2,28.43,22.00,25.00,0,a3
223.000,40,36,0,37,31.75,22.00,25.00,0,a3
224.000,11,1,0,2,34.71,22.00,25.00,0,a3
224.000,20,37,0,38,35.17,22.00,25.00,0,a3
224.000,22,1,0,2,33.76,22.00,25.00,0,a3
225.000,10,1,0,2,57.48,25.00,28.00,1,a3
225.000,22,1,0,2,34.04,22.00,25.00,0,a3
225.000,25,37,0,38,45.96,25.00,28.00,1,a3
225.000,40,36,0,37,40.06,22.00,25.00,0,a3
226.000,11,1,0,2,37.32,22.00,25.00,0,a3
226.000,22,1,0,2,34.84,22.00,25.00,0,a3
226.000,40,36,0,37,35.11,22.00,25.00,0,a3
227.000,11,1,0,2,41.47,22.00,25.00,0,a3
227.000,25,37,0,38,51.10,25.00,28.00,1,a3
228.000,22,1,0,2,37.27,22.00,25.00,0,a3
228.000,40,36,0,37,38.04,22.00,25.00,1,a3
229.000,25,1,0,2,56.37,25.00,28.00,1,a3
229.000,40,1,0,2,41.82,22.00,25.00,0,a3
230.000,40,36,0,37,35.90,22.00,25.00,0,a3
231.000,11,1,0,2,41.49,22.00,25.00,0,a3
231.000,25,37,0,38,49.89,25.00,28.00,1,a3
232.000,8,36,0,37,33.98,22.00,25.00,1,a3
232.000,40,36,0,37,43.18,22.00,25.00,0,a3
233.000,8,1,0,2,43.97,22.00,25.00,0,a3
234.000,8,1,0,2,44.92,22.00,25.00,0,a3
234.000,22,1,0,2,36.93,22.00,25.00,0,a3
235.000,8,36,0,37,34.72,22.00,25.00,0,a3
235.000,11,37,0,38,33.33,22.00,25.00,0,a3
236.000,8,1,0,2,44.79,22.00,25.00,1,a3
236.000,11,37,0,38,38.86,22.00,25.00,1,a3
236.000,22,1,0,2,34.61,22.00,25.00,0,a3
