time_s,sat_id,lat,lon,altitude_km,velocity_mps
60.000,12,36.233374,62.391752,780.0,6652
60.000,13,68.750457,69.060045,780.0,6652
60.000,14,77.698253,-137.019484,780.0,6652
60.000,15,45.386810,-123.906914,780.0,6652
60.000,16,12.748846,-121.066306,780.0,6652
60.000,17,-19.911755,-118.944835,780.0,6652
60.000,18,-52.532012,-115.542153,780.0,6652
60.000,19,-84.166926,-82.237175,780.0,6652
60.000,20,-61.654676,53.052005,780.0,6652
60.000,21,-29.075107,57.744582,780.0,6652
60.000,22,3.582067,119.974975,780.0,6652
60.000,23,36.233374,122.391752,780.0,6652
60.000,24,68.750457,129.060045,780.0,6652
60.000,25,77.698253,-77.019484,780.0,6652
60.000,26,45.386810,-63.906914,780.0,6652
60.000,27,12.748846,-61.066306,780.0,6652
60.000,28,-19.911755,-58.944835,780.0,6652
60.000,29,-52.532012,-55.542153,780.0,6652
60.000,30,-84.166926,-22.237175,780.0,6652
60.000,31,-61.654676,113.052005,780.0,6652
60.000,32,-29.075107,117.744582,780.0,6652
60.000,33,3.582067,179.974975,780.0,6652
60.000,34,36.233374,-177.608248,780.0,6652
60.000,35,68.750457,-170.939955,780.0,6652
60.000,36,77.698253,-17.019484,780.0,6652
60.000,37,45.386810,-3.906914,780.0,6652
60.000,38,12.748846,-1.066306,780.0,6652
60.000,39,-19.911755,1.055165,780.0,6652
60.000,40,-52.532012,4.457847,780.0,6652
60.000,41,-84.166926,37.762825,780.0,6652
60.000,42,-61.654676,173.052005,780.0,6652
60.000,43,-29.075107,177.744582,780.0,6652
60.000,44,3.582067,-120.025025,780.0,6652
60.000,45,36.233374,-117.608248,780.0,6652
60.000,46,68.750457,-110.939955,780.0,6652
60.000,47,77.698253,42.980516,780.0,6652
60.000,48,45.386810,56.093086,780.0,6652
60.000,49,12.748846,58.933694,780.0,6652
60.000,50,-19.911755,61.055165,780.0,6652
60.000,51,-52.532012,64.457847,780.0,6652
60.000,52,-84.166926,97.762825,780.0,6652
60.000,53,-61.654676,-126.947995,780.0,6652
60.000,54,-29.075107,-122.255418,780.0,6652
60.000,55,3.582067,-60.025025,780.0,6652
60.000,56,36.233374,-57.608248,780.0,6652
60.000,57,68.750457,-50.939955,780.0,6652
60.000,58,77.698253,102.980516,780.0,6652
60.000,59,45.386810,116.093086,780.0,6652
60.000,60,12.748846,118.933694,780.0,6652
60.000,61,-19.911755,121.055165,780.0,6652
60.000,62,-52.532012,124.457847,780.0,6652
60.000,63,-84.166926,157.762825,780.0,6652
60.000,64,-61.654676,-66.947995,780.0,6652
60.000,65,-29.075107,-62.255418,780.0,6652
62.000,0,3.701468,-0.025839,780.0,6652
62.000,1,36.352649,2.394960,780.0,6652
62.000,2,68.868277,9.109182,780.0,6652
62.000,3,77.583878,163.136145,780.0,6652
62.000,4,45.267650,176.099928,780.0,6652
62.000,5,12.629455,178.933231,780.0,6652
62.000,6,-20.031126,-178.944687,780.0,6652
62.000,7,-52.651010,-175.530153,780.0,6652
62.000,8,-84.260525,-141.506386,780.0,6652
62.000,9,-61.536084,-6.923153,780.0,6652
62.000,10,-28.955777,-2.253951,780.0,6652
62.000,11,3.701468,59.974161,780.0,6652
62.000,12,36.352649,62.394960,780.0,6652
62.000,13,68.868277,69.109182,780.0,6652
62.000,14,77.583878,-136.863855,780.0,6652
62.000,15,45.267650,-123.900072,780.0,6652
62.000,16,12.629455,-121.066769,780.0,6652
62.000,17,-20.031126,-118.944687,780.0,6652
62.000,18,-52.651010,-115.530153,780.0,6652
62.000,19,-84.260525,-81.506386,780.0,6652
62.000,20,-61.536084,53.076847,780.0,6652
62.000,21,-28.955777,57.746049,780.0,6652
62.000,22,3.701468,119.974161,780.0,6652
62.000,23,36.352649,122.394960,780.0,6652
62.000,24,68.868277,129.109182,780.0,6652
62.000,25,77.583878,-76.863855,780.0,6652
62.000,26,45.267650,-63.900072,780.0,6652
62.000,27,12.629455,-61.066769,780.0,6652
62.000,28,-20.031126,-58.944687,780.0,6652
62.000,29,-52.651010,-55.530153,780.0,6652
62.000,30,-84.260525,-21.506386,780.0,6652
62.000,31,-61.536084,113.076847,780.0,6652
62.000,32,-28.955777,117.746049,780.0,6652
62.000,33,3.701468,179.974161,780.0,6652
62.000,34,36.352649,-177.605040,780.0,6652
62.000,35,68.868277,-170.890818,780.0,6652
62.000,36,77.583878,-16.863855,780.0,6652
62.000,37,45.267650,-3.900072,780.0,6652
62.000,38,12.629455,-1.066769,780.0,6652
62.000,39,-20.031126,1.055313,780.0,6652
62.000,40,-52.651010,4.469847,780.0,6652
62.000,41,-84.260525,38.493614,780.0,6652
62.000,42,-61.536084,173.076847,780.0,6652
62.000,43,-28.955777,177.746049,780.0,6652
62.000,44,3.701468,-120.025839,780.0,6652
62.000,45,36.352649,-117.605040,780.0,6652
62.000,46,68.868277,-110.890818,780.0,6652
62.000,47,77.583878,43.136145,780.0,6652
62.000,48,45.267650,56.099928,780.0,6652
62.000,49,12.629455,58.933231,780.0,6652
62.000,50,-20.031126,61.055313,780.0,6652
62.000,51,-52.651010,64.469847,780.0,6652
62.000,52,-84.260525,98.493614,780.0,6652
62.000,53,-61.536084,-126.923153,780.0,6652
62.000,54,-28.955777,-122.253951,780.0,6652
62.000,55,3.701468,-60.025839,780.0,6652
62.000,56,36.352649,-57.605040,780.0,6652
62.000,57,68.868277,-50.890818,780.0,6652
62.000,58,77.583878,103.136145,780.0,6652
62.000,59,45.267650,116.099928,780.0,6652
62.000,60,12.629455,118.933231,780.0,6652
62.000,61,-20.031126,121.055313,780.0,6652
62.000,62,-52.651010,124.469847,780.0,6652
62.000,63,-84.260525,158.493614,780.0,6652
62.000,64,-61.536084,-66.923153,780.0,6652
62.000,65,-28.955777,-62.253951,780.0,6652
64.000,0,3.820870,-0.026650,780.0,6652
64.000,1,36.471923,2.398203,780.0,6652
64.000,2,68.986077,9.158935,780.0,6652
64.000,3,77.469407,163.288826,780.0,6652
64.000,4,45.148487,176.106706,780.0,6652
64.000,5,12.510064,178.932760,780.0,6652
64.000,6,-20.150497,-178.944526,780.0,6652
64.000,7,-52.770005,-175.518043,780.0,6652
64.000,8,-84.353144,-140.751304,780.0,6652
64.000,9,-61.417485,-6.898564,780.0,6652
64.000,10,-28.836446,-2.252506,780.0,6652
64.000,11,3.820870,59.973350,780.0,6652
64.000,12,36.471923,62.398203,780.0,6652
64.000,13,68.986077,69.158935,780.0,6652
64.000,14,77.469407,-136.711174,780.0,6652
64.000,15,45.148487,-123.893294,780.0,6652
64.000,16,12.510064,-121.067240,780.0,6652
64.000,17,-20.150497,-118.944526,780.0,6652
64.000,18,-52.770005,-115.518043,780.0,6652
64.000,19,-84.353144,-80.751304,780.0,6652
64.000,20,-61.417485,53.101436,780.0,6652
64.000,21,-28.836446,57.747494,780.0,6652
64.000,22,3.820870,119.973350,780.0,6652
64.000,23,36.471923,122.398203,780.0,6652
64.000,24,68.986077,129.158935,780.0,6652
64.000,25,77.469407,-76.711174,780.0,6652
64.000,26,45.148487,-63.893294,780.0,6652
64.000,27,12.510064,-61.067240,780.0,6652
64.000,28,-20.150497,-58.944526,780.0,6652
64.000,29,-52.770005,-55.518043,780.0,6652
64.000,30,-84.353144,-20.751304,780.0,6652
64.000,31,-61.417485,113.101436,780.0,6652
64.000,32,-28.836446,117.747494,780.0,6652
64.000,33,3.820870,179.973350,780.0,6652
64.000,34,36.471923,-177.601797,780.0,6652
64.000,35,68.986077,-170.841065,780.0,6652
64.000,36,77.469407,-16.711174,780.0,6652
64.000,37,45.148487,-3.893294,780.0,6652
