time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
94.000,8,3,38,2,37,0,0,time,-17.39,-11.49,0.00,46.00,1,0,56.332579,4.752331,0.0,static,17.0,18.0,
94.000,31,38,2,37,1,0,0,time,-1.42,6.10,0.00,46.00,1,0,42.112088,5.703086,0.5,pedestrian,39.4,53.0,
94.000,34,2,38,1,37,0,0,time,-6.58,-16.81,0.00,46.00,0,0,31.151650,-10.283656,79.9,hst,21.2,19.8,LowSINR
94.000,36,3,48,2,47,0,0,time,-6.54,-7.95,0.00,46.00,1,0,64.297575,33.597299,33.0,vehicular,25.5,22.6,
95.000,18,38,2,37,1,0,0,time,-19.50,-14.98,0.00,46.00,0,0,52.607475,18.867104,1.7,pedestrian,11.5,10.6,LowSINR
95.000,34,2,38,1,37,0,0,time,-6.97,-11.94,0.00,47.00,1,0,31.152347,-10.283454,79.9,hst,21.1,19.9,
96.000,18,38,2,37,1,0,0,time,-17.17,-18.44,0.00,47.00,0,0,52.607468,18.867126,1.7,pedestrian,11.4,10.7,LowSINR
97.000,18,38,2,37,1,0,0,time,-15.24,-18.57,0.00,48.00,0,0,52.607460,18.867149,1.7,pedestrian,11.4,10.8,LowSINR
98.000,18,38,2,37,1,0,0,time,-16.99,-14.59,0.00,49.00,0,0,52.607453,18.867171,1.7,pedestrian,11.3,10.8,LowSINR
99.000,18,38,2,37,1,0,0,time,-19.90,-17.42,0.00,50.00,1,0,52.607446,18.867193,1.7,pedestrian,11.3,10.9,
101.000,4,14,3,13,2,0,0,time,-16.57,-6.40,0.00,46.00,1,0,62.592690,26.742852,36.1,vehicular,10.2,26.3,
101.000,39,38,3,37,2,0,0,time,-100.00,-7.90,0.00,46.00,1,0,61.657748,7.729151,0.0,static,0.0,29.8,
104.000,32,2,38,1,37,0,0,time,-17.33,-7.00,0.00,46.00,1,0,51.172951,-12.213823,0.0,static,14.2,27.8,
107.000,28,3,37,2,36,0,0,time,-5.80,-7.93,0.00,1107.00,1,0,63.706717,-3.300869,0.0,static,30.5,23.1,
107.000,44,38,2,37,1,0,0,time,-9.54,-15.49,0.00,46.00,0,0,55.330043,3.894351,82.0,hst,18.8,13.8,LowSINR
107.000,48,2,38,1,37,0,0,time,-12.39,-17.06,0.00,46.00,0,0,29.209800,10.218000,30.7,vehicular,23.5,11.8,LowSINR
108.000,9,2,38,1,37,0,0,time,-16.20,-14.96,0.00,46.00,1,0,49.961199,19.638143,0.0,static,13.8,11.5,
108.000,44,38,2,37,1,0,0,time,-11.03,-13.14,0.00,47.00,0,0,55.330752,3.894700,82.0,hst,18.7,13.9,LowSINR
108.000,47,2,39,1,38,0,0,time,-11.60,-10.45,0.00,46.00,1,0,25.585142,7.583250,78.9,hst,17.8,11.4,
108.000,48,2,38,1,37,0,0,time,-8.72,-12.79,0.00,47.00,1,0,29.209746,10.218310,30.7,vehicular,23.4,11.9,
109.000,44,38,3,37,2,0,0,time,-12.82,-14.57,0.00,48.00,0,0,55.331462,3.895049,82.0,hst,18.6,13.4,LowSINR
110.000,44,38,2,37,1,0,0,time,-18.42,-13.08,0.00,49.00,1,0,55.332171,3.895398,82.0,hst,18.5,14.1,
113.000,27,2,38,1,37,0,0,time,-6.86,-11.37,0.00,46.00,1,0,29.085409,-2.676930,0.0,static,25.0,20.0,
115.000,17,38,2,37,1,0,0,time,-6.37,-6.47,0.00,47.00,1,0,51.115891,1.714417,32.8,vehicular,29.2,23.8,
115.000,24,2,38,1,37,0,0,time,-14.02,-5.05,0.00,46.00,1,0,47.052030,-15.793991,1.2,pedestrian,15.7,28.7,
115.000,33,2,38,1,37,0,0,time,0.82,6.17,0.00,53.00,1,0,39.432590,-3.521291,0.0,static,52.6,66.6,
116.000,37,3,48,2,47,0,0,time,-18.54,-16.35,0.00,1116.00,0,0,57.553814,25.754577,1.2,pedestrian,14.8,10.0,LowSINR
117.000,37,3,48,2,47,0,0,time,-16.65,-18.83,0.00,1117.00,0,0,57.553803,25.754578,1.2,pedestrian,14.7,10.1,LowSINR
118.000,20,38,2,37,1,0,0,time,-7.79,-10.73,0.00,46.00,1,0,44.910384,-15.547133,21.3,vehicular,31.5,17.6,
118.000,37,3,48,2,47,0,0,time,-11.61,-22.18,0.00,1118.00,1,0,57.553793,25.754580,1.2,pedestrian,14.6,10.1,
119.000,21,37,3,36,2,0,0,time,-5.18,-3.27,0.00,46.00,1,0,62.661365,2.867088,35.4,vehicular,20.4,28.4,
119.000,22,38,37,37,36,0,0,time,-12.01,-11.56,0.00,46.00,1,0,55.904029,-10.861741,20.2,vehicular,16.6,10.4,
120.000,1,3,37,2,36,0,0,time,-6.07,-4.04,0.00,47.00,1,0,64.963685,-5.837883,2.3,pedestrian,30.2,29.6,
121.000,7,38,2,37,1,0,0,time,-5.37,-3.84,0.00,47.00,1,0,32.902036,-2.622221,0.0,static,32.1,35.1,
125.000,43,38,2,37,1,0,0,time,-12.25,-13.67,0.00,46.00,1,0,54.468120,-10.130710,28.5,vehicular,18.9,13.2,
126.000,11,38,2,37,1,0,0,time,-5.11,-11.36,0.00,74.00,1,0,43.861196,-14.206256,81.7,hst,35.2,20.5,
126.000,16,38,2,37,1,0,0,time,-4.58,2.50,0.00,51.00,1,0,46.601007,6.867870,27.6,vehicular,31.1,39.1,
127.000,40,38,2,37,1,0,0,time,-16.70,-15.03,0.00,46.00,0,0,55.569665,-7.235978,0.0,static,17.4,13.2,LowSINR
128.000,40,38,2,37,1,0,0,time,-11.04,-12.35,0.00,47.00,1,0,55.569665,-7.235978,0.0,static,17.3,13.3,
130.000,35,38,2,37,1,0,0,time,-13.95,-15.76,0.00,46.00,1,0,54.638222,-2.079185,0.0,static,19.3,17.0,
130.000,38,38,2,37,1,0,0,time,-15.39,-6.64,0.00,46.00,1,0,30.841310,10.527324,0.0,static,15.3,23.9,
134.000,45,2,38,1,37,0,0,time,-100.00,-15.43,0.00,46.00,0,0,31.677341,-18.551914,1.5,pedestrian,0.0,15.9,LowSINR
135.000,45,2,38,1,37,0,0,time,-100.00,-11.48,0.00,47.00,1,0,31.677336,-18.551899,1.5,pedestrian,0.0,16.0,
136.000,3,38,2,37,1,0,0,time,-14.00,-4.77,0.00,46.00,1,0,34.267438,12.084068,69.7,hst,18.0,28.5,
136.000,46,2,38,1,37,0,0,time,-14.08,-13.22,0.00,46.00,0,0,49.368618,-17.910269,0.7,pedestrian,13.1,20.1,LowSINR
137.000,42,3,48,2,47,0,0,time,-13.07,-18.97,0.00,64.00,1,0,58.586069,17.402544,2.1,pedestrian,16.4,10.0,
137.000,46,2,38,1,37,0,0,time,-18.38,-14.41,0.00,47.00,1,0,49.368620,-17.910278,0.7,pedestrian,13.1,20.0,
138.000,2,14,48,13,47,0,0,time,-21.88,-7.98,0.00,46.00,1,0,62.417586,30.782384,3.5,pedestrian,10.6,21.8,
138.000,15,38,2,37,1,0,0,time,-13.87,-15.28,0.00,46.00,0,0,26.832918,-11.621344,20.6,vehicular,15.5,10.6,LowSINR
139.000,13,2,38,1,37,0,0,time,-11.76,-13.47,0.00,46.00,0,0,47.731700,16.866544,77.4,hst,22.1,13.9,LowSINR
139.000,15,38,2,37,1,0,0,time,-16.23,-17.85,0.00,47.00,1,0,26.833056,-11.621483,20.6,vehicular,15.6,10.5,
139.000,41,38,2,37,1,0,0,time,-11.53,-14.74,0.00,46.00,1,0,28.816962,-10.266433,0.9,pedestrian,20.3,14.3,
140.000,8,38,2,37,1,0,0,time,-11.76,-11.50,0.00,46.00,1,0,56.332579,4.752331,0.0,static,13.2,15.4,
140.000,13,2,38,1,37,0,0,time,-10.92,-14.82,0.00,47.00,0,0,47.732380,16.866761,77.4,hst,22.2,13.8,LowSINR
140.000,36,48,3,47,2,0,0,time,-5.89,-7.07,0.00,46.00,0,0,64.310799,33.605065,33.0,vehicular,28.2,22.9,MarginalSINR
141.000,13,2,38,1,37,0,0,time,-7.60,-17.11,0.00,48.00,0,0,47.733060,16.866977,77.4,hst,22.3,13.7,LowSINR
141.000,34,38,2,37,1,0,0,time,-7.77,-13.24,0.00,46.00,0,0,31.184384,-10.274137,79.9,hst,26.0,17.6,LowSINR
141.000,36,48,3,47,2,0,0,time,-6.95,-7.01,0.00,47.00,1,0,64.311086,33.605234,33.0,vehicular,28.4,22.8,
142.000,13,2,38,1,37,0,0,time,-10.63,-15.66,0.00,49.00,0,0,47.733741,16.867193,77.4,hst,22.4,13.7,LowSINR
142.000,34,38,2,37,1,0,0,time,-9.54,-13.48,0.00,47.00,0,0,31.185081,-10.273934,79.9,hst,26.2,17.5,LowSINR
143.000,13,2,38,1,37,0,0,time,-6.00,-14.60,0.00,50.00,1,0,47.734421,16.867409,77.4,hst,22.5,13.6,
143.000,34,38,2,37,1,0,0,time,-6.38,-13.76,0.00,48.00,0,0,31.185777,-10.273731,79.9,hst,26.3,17.4,LowSINR
144.000,0,48,3,47,2,0,0,time,-6.45,-13.18,0.00,51.00,0,0,64.887392,35.953442,0.0,static,31.9,22.5,LowSINR
144.000,34,38,2,37,1,0,0,time,-7.47,-9.95,0.00,49.00,0,0,31.186474,-10.273529,79.9,hst,26.5,17.3,LowSINR
145.000,34,38,2,37,1,0,0,time,-6.53,-15.90,0.00,50.00,1,0,31.187170,-10.273326,79.9,hst,26.6,17.3,
