time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
228.000,40,36,0,37,40.34,22.00,25.00,0,tte-aware
229.000,26,37,0,38,40.02,22.00,25.00,0,tte-aware
229.000,40,36,0,37,36.60,22.00,25.00,0,tte-aware
231.000,48,37,0,38,34.45,22.00,25.00,0,tte-aware
232.000,40,36,0,37,38.73,22.00,25.00,0,tte-aware
233.000,22,1,0,2,39.44,22.00,25.00,0,tte-aware
234.000,8,36,0,37,40.64,22.00,25.00,0,tte-aware
234.000,22,1,0,2,38.06,22.00,25.00,0,tte-aware
235.000,40,36,0,37,41.21,22.00,25.00,0,tte-aware
236.000,11,37,0,38,33.79,22.00,25.00,0,tte-aware
236.000,43,36,0,37,31.87,22.00,25.00,0,tte-aware
237.000,15,0,0,1,27.32,18.00,21.00,0,tte-aware
237.000,43,36,0,37,39.58,22.00,25.00,0,tte-aware
238.000,8,36,0,37,35.37,22.00,25.00,0,tte-aware
239.000,22,1,0,2,33.04,22.00,25.00,0,tte-aware
240.000,11,37,0,38,34.80,22.00,25.00,0,tte-aware
240.000,40,36,0,37,41.17,22.00,25.00,0,tte-aware
240.000,48,37,0,38,36.81,22.00,25.00,0,tte-aware
241.000,22,1,0,2,37.29,22.00,25.00,0,tte-aware
241.000,43,36,0,37,35.74,22.00,25.00,0,tte-aware
242.000,11,37,0,38,35.03,22.00,25.00,0,tte-aware
242.000,22,1,0,2,41.83,22.00,25.00,0,tte-aware
242.000,26,37,0,38,43.75,22.00,25.00,0,tte-aware
242.000,40,36,0,37,35.76,22.00,25.00,0,tte-aware
242.000,43,36,0,37,33.12,22.00,25.00,0,tte-aware
242.000,48,37,0,38,36.64,22.00,25.00,0,tte-aware
243.000,25,37,0,38,44.92,25.00,28.00,1,tte-aware
244.000,40,36,0,37,36.99,22.00,25.00,0,tte-aware
245.000,11,37,0,38,33.96,22.00,25.00,0,tte-aware
245.000,40,36,0,37,41.09,22.00,25.00,1,tte-aware
246.000,11,37,0,38,26.71,22.00,25.00,0,tte-aware
246.000,43,36,0,37,34.63,22.00,25.00,0,tte-aware
247.000,11,37,0,38,35.10,22.00,25.00,0,tte-aware
247.000,47,0,0,1,34.18,22.00,25.00,0,tte-aware
248.000,10,37,0,38,40.99,25.00,28.00,1,tte-aware
248.000,11,37,0,38,33.77,22.00,25.00,0,tte-aware
248.000,22,1,0,2,40.91,22.00,25.00,1,tte-aware
251.000,47,0,0,1,33.07,22.00,25.00,0,tte-aware
252.000,11,37,0,38,33.98,22.00,25.00,1,tte-aware
252.000,43,36,0,37,39.95,22.00,25.00,0,tte-aware
253.000,8,36,0,37,34.03,22.00,25.00,0,tte-aware
256.000,43,36,0,37,36.68,22.00,25.00,0,tte-aware
256.000,47,0,0,1,34.83,22.00,25.00,0,tte-aware
257.000,47,0,0,1,40.56,22.00,25.00,0,tte-aware
258.000,25,1,0,2,49.73,25.00,28.00,1,tte-aware
258.000,43,36,0,37,35.61,22.00,25.00,0,tte-aware
259.000,47,0,0,1,36.73,22.00,25.00,1,tte-aware
260.000,40,1,0,2,37.64,22.00,25.00,1,tte-aware
263.000,10,1,0,2,47.46,25.00,28.00,1,tte-aware
263.000,22,36,0,37,44.73,22.00,25.00,0,tte-aware
264.000,22,36,0,37,42.19,22.00,25.00,1,tte-aware
266.000,43,36,0,37,43.26,22.00,25.00,0,tte-aware
267.000,43,36,0,37,38.99,22.00,25.00,0,tte-aware
268.000,42,1,0,2,37.77,22.00,25.00,0,tte-aware
