time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
345.000,47,1,38,0,37,0,0,tte-aware,-6.18,-4.18,46.12,32.00,1,0,25.751772,7.606176,78.9,hst,32.6,28.0,
346.000,22,2,37,1,36,0,0,tte-aware,-2.80,2.70,61.36,19.00,1,0,55.893556,-10.932721,20.2,vehicular,32.9,48.8,
348.000,21,37,2,36,1,0,0,tte-aware,-5.80,-3.48,48.94,175.00,1,0,62.638250,3.017548,35.4,vehicular,47.5,30.9,
351.000,46,2,37,1,36,0,0,tte-aware,-13.85,-4.30,36.48,100.00,0,0,49.369148,-17.912047,0.7,pedestrian,18.4,21.3,T304Timeout
355.000,43,2,37,1,36,0,0,tte-aware,-4.24,-0.84,56.00,15.00,1,0,54.460201,-10.231233,28.5,vehicular,35.4,44.4,
356.000,46,2,37,1,36,0,0,tte-aware,-14.58,-4.56,33.53,105.00,1,0,49.369161,-17.912089,0.7,pedestrian,18.3,21.8,
360.000,32,2,37,1,36,0,0,tte-aware,-5.55,-4.35,47.11,16.00,1,0,51.172951,-12.213823,0.0,static,28.6,30.9,
360.000,37,48,2,47,1,0,0,tte-aware,-13.92,-4.99,33.75,181.00,1,0,57.551227,25.754969,1.2,pedestrian,18.5,20.6,
360.000,39,2,37,1,36,0,0,tte-aware,-2.31,2.73,48.48,30.00,1,0,61.657748,7.729151,0.0,static,36.0,36.8,
360.000,47,38,1,37,0,0,0,tte-aware,-7.73,-1.35,50.80,15.00,1,0,25.762318,7.607628,78.9,hst,28.5,34.6,
361.000,5,49,48,48,47,0,0,tte-aware,-100.00,-13.61,0.00,1361.00,1,0,45.708929,32.069860,36.6,vehicular,0.0,10.1,
361.000,11,38,2,37,1,0,0,tte-aware,-100.00,-12.09,0.00,109.00,1,0,44.030793,-14.162846,81.7,hst,0.0,15.6,
362.000,48,38,1,37,0,0,0,tte-aware,-7.17,-4.90,37.06,120.00,1,0,29.195988,10.296962,30.7,vehicular,22.3,22.6,
364.000,21,2,37,1,36,0,0,tte-aware,-5.71,1.65,62.27,16.00,1,0,62.636635,3.028056,35.4,vehicular,34.3,45.4,
370.000,14,13,48,12,47,0,0,tte-aware,-100.00,-12.88,0.00,132.00,0,0,46.344173,36.997669,1.9,pedestrian,0.0,14.3,LowSINR
371.000,14,13,48,12,47,0,0,tte-aware,-100.00,-13.19,0.00,133.00,0,0,46.344190,36.997673,1.9,pedestrian,0.0,14.4,LowSINR
371.000,38,38,1,37,0,0,0,tte-aware,-8.19,-4.69,35.80,164.00,1,0,30.841310,10.527324,0.0,static,20.8,20.7,
372.000,14,13,48,12,47,0,0,tte-aware,-100.00,-14.23,0.00,134.00,1,0,46.344206,36.997676,1.9,pedestrian,0.0,14.5,
375.000,47,1,38,0,37,0,0,tte-aware,-5.11,-1.99,43.56,15.00,0,0,25.772865,7.609080,78.9,hst,36.4,28.8,HighSpeed
377.000,32,37,2,36,1,0,0,tte-aware,-6.03,-4.38,41.85,17.00,1,0,51.172951,-12.213823,0.0,static,34.2,27.6,
379.000,39,37,2,36,1,0,0,tte-aware,-5.57,-4.17,51.86,19.00,1,0,61.657748,7.729151,0.0,static,35.4,40.9,
381.000,24,2,37,1,36,0,0,tte-aware,-14.32,-3.60,36.18,162.00,1,0,47.049810,-15.791424,1.2,pedestrian,16.8,20.9,
388.000,28,37,2,36,1,0,0,tte-aware,-4.83,1.11,49.01,227.00,1,0,63.706717,-3.300869,0.0,static,46.6,32.9,
388.000,35,2,37,1,36,0,0,tte-aware,2.65,5.86,63.91,211.00,1,0,54.638222,-2.079185,0.0,static,60.5,51.5,
392.000,32,2,37,1,36,0,0,tte-aware,-7.88,-3.61,53.07,15.00,1,0,51.172951,-12.213823,0.0,static,26.6,37.5,
398.000,1,37,2,36,1,0,0,tte-aware,-5.32,-4.17,42.06,249.00,1,0,64.968428,-5.845284,2.3,pedestrian,39.0,29.1,
398.000,7,38,1,37,0,0,0,tte-aware,-2.07,3.45,40.71,229.00,1,0,32.902036,-2.622221,0.0,static,36.8,30.3,
400.000,6,2,1,1,0,0,0,tte-aware,-100.00,-16.92,0.00,1400.00,1,0,27.267324,20.303024,33.4,vehicular,0.0,10.0,
400.000,21,37,2,36,1,0,0,tte-aware,-1.85,1.20,59.02,36.00,1,0,62.633001,3.051697,35.4,vehicular,39.2,43.9,
403.000,28,2,37,1,36,0,0,tte-aware,-3.00,0.58,56.92,15.00,1,0,63.706717,-3.300869,0.0,static,36.0,42.3,
403.000,41,38,1,37,0,0,0,tte-aware,-7.55,-3.72,36.90,242.00,1,0,28.817325,-10.264101,0.9,pedestrian,38.6,27.5,
406.000,26,2,37,1,36,0,0,tte-aware,-10.58,-2.62,40.24,232.00,1,0,45.754583,-9.669476,1.2,pedestrian,18.4,23.6,
