time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
142.000,36,47,0,48,44.36,22.00,25.00,0,location
143.000,4,2,0,3,36.81,22.00,25.00,0,location
143.000,21,2,0,3,39.77,22.00,25.00,1,location
143.000,27,1,0,2,35.26,22.00,25.00,0,location
143.000,36,47,0,48,40.37,22.00,25.00,0,location
144.000,17,37,0,38,37.51,22.00,25.00,1,location
144.000,21,36,0,37,40.23,22.00,25.00,0,location
144.000,27,1,0,2,43.98,22.00,25.00,0,location
144.000,28,2,0,3,42.55,22.00,25.00,0,location
144.000,36,47,0,48,43.20,22.00,25.00,1,location
145.000,17,1,0,2,45.65,22.00,25.00,0,location
145.000,21,36,0,37,35.31,22.00,25.00,0,location
145.000,27,1,0,2,36.50,22.00,25.00,0,location
146.000,28,2,0,3,41.28,22.00,25.00,0,location
146.000,35,1,0,2,37.56,18.00,21.00,0,location
147.000,17,1,0,2,47.48,22.00,25.00,0,location
147.000,28,2,0,3,38.10,22.00,25.00,0,location
148.000,17,1,0,2,50.34,22.00,25.00,0,location
148.000,27,1,0,2,39.78,22.00,25.00,0,location
148.000,41,37,0,38,34.21,22.00,25.00,0,location
149.000,4,2,0,3,36.29,22.00,25.00,0,location
149.000,17,1,0,2,41.39,22.00,25.00,1,location
149.000,21,36,0,37,38.33,22.00,25.00,0,location
149.000,36,2,0,3,41.52,22.00,25.00,0,location
149.000,41,37,0,38,39.27,22.00,25.00,1,location
150.000,4,2,0,3,31.12,22.00,25.00,0,location
150.000,21,36,0,37,36.04,22.00,25.00,0,location
150.000,36,2,0,3,35.68,22.00,25.00,0,location
151.000,0,2,0,3,34.52,22.00,25.00,1,location
151.000,28,2,0,3,33.98,22.00,25.00,0,location
151.000,36,2,0,3,35.67,22.00,25.00,1,location
152.000,0,47,0,48,48.25,25.00,28.00,1,location
152.000,4,2,0,3,39.80,22.00,25.00,0,location
152.000,36,47,0,48,43.74,22.00,25.00,0,location
153.000,11,1,0,2,35.29,22.00,25.00,0,location
153.000,36,47,0,48,41.03,22.00,25.00,1,location
154.000,16,37,0,38,43.48,22.00,25.00,0,location
154.000,17,37,0,38,34.54,22.00,25.00,0,location
154.000,21,36,0,37,40.75,22.00,25.00,0,location
154.000,39,36,0,37,34.99,22.00,25.00,0,location
155.000,21,36,0,37,35.49,22.00,25.00,0,location
155.000,39,36,0,37,30.24,22.00,25.00,1,location
156.000,21,36,0,37,40.69,22.00,25.00,0,location
156.000,39,2,0,3,36.05,22.00,25.00,0,location
157.000,1,2,0,3,42.66,22.00,25.00,0,location
157.000,21,36,0,37,38.95,22.00,25.00,0,location
157.000,39,2,0,3,39.36,22.00,25.00,0,location
158.000,21,36,0,37,36.87,22.00,25.00,0,location
