time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
238.000,40,2,37,1,36,0,0,location,-8.98,-4.60,0.00,42.00,1,0,55.569665,-7.235978,0.0,static,26.1,23.3,
241.000,40,37,2,36,1,0,0,location,-7.16,-4.21,0.00,3.00,1,1,55.569665,-7.235978,0.0,static,23.8,26.6,
242.000,48,2,38,1,37,0,0,location,-100.00,-4.95,0.00,1242.00,1,0,29.202488,10.259805,30.7,vehicular,0.0,20.8,
244.000,38,2,38,1,37,0,0,location,-16.68,-4.25,0.00,1244.00,1,0,30.841310,10.527324,0.0,static,12.0,22.0,
244.000,40,2,37,1,36,0,0,location,-6.27,-4.63,0.00,3.00,1,1,55.569665,-7.235978,0.0,static,27.0,24.2,
247.000,40,37,2,36,1,0,0,location,-5.11,-3.65,0.00,3.00,1,1,55.569665,-7.235978,0.0,static,24.7,27.4,
248.000,10,2,38,1,37,0,0,location,-5.60,-1.38,0.00,19.00,1,0,42.845380,-6.672527,0.0,static,34.9,31.7,
249.000,43,37,2,36,1,0,0,location,-6.95,-3.97,0.00,15.00,1,0,54.463850,-10.184907,28.5,vehicular,22.3,26.1,
252.000,22,2,37,1,36,0,0,location,-10.93,-4.96,0.00,14.00,1,0,55.897893,-10.903331,20.2,vehicular,23.2,26.5,
252.000,43,2,37,1,36,0,0,location,-9.57,-3.59,0.00,3.00,1,1,54.463747,-10.186218,28.5,vehicular,26.5,22.7,
254.000,10,38,2,37,1,0,0,location,-4.05,-0.66,0.00,6.00,1,1,42.845380,-6.672527,0.0,static,30.5,34.1,
256.000,22,37,2,36,1,0,0,location,-7.10,-4.98,0.00,4.00,1,1,55.897708,-10.904582,20.2,vehicular,27.2,23.7,
256.000,43,37,2,36,1,0,0,location,-8.62,-4.85,0.00,4.00,1,1,54.463609,-10.187967,28.5,vehicular,23.3,26.9,
257.000,43,2,37,1,36,0,0,location,-6.26,-4.80,0.00,1.00,1,1,54.463575,-10.188404,28.5,vehicular,27.0,23.4,
257.000,45,2,38,1,37,0,0,location,-100.00,-5.00,0.00,1257.00,1,0,31.676683,-18.550102,1.5,pedestrian,0.0,20.7,
259.000,47,2,38,1,37,0,0,location,-100.00,-4.98,0.00,1259.00,1,0,25.691307,7.597853,78.9,hst,0.0,21.8,
264.000,43,37,2,36,1,0,0,location,-5.50,-3.41,0.00,7.00,1,1,54.463334,-10.191463,28.5,vehicular,24.5,27.8,
266.000,22,2,37,1,36,0,0,location,-7.44,-4.14,0.00,10.00,1,0,55.897247,-10.907708,20.2,vehicular,24.8,29.0,
267.000,42,3,2,2,1,0,0,location,-100.00,-4.62,0.00,1267.00,1,0,58.586315,17.407271,2.1,pedestrian,0.0,20.1,
269.000,40,2,37,1,36,0,0,location,-6.23,-4.34,0.00,22.00,1,0,55.569665,-7.235978,0.0,static,30.7,28.6,
271.000,22,37,2,36,1,0,0,location,-11.40,-3.80,0.00,5.00,1,1,55.897016,-10.909272,20.2,vehicular,30.0,25.4,
271.000,40,37,2,36,1,0,0,location,-5.26,-4.31,0.00,2.00,1,1,55.569665,-7.235978,0.0,static,28.9,31.0,
272.000,22,2,37,1,36,0,0,location,-9.14,-1.30,0.00,1.00,1,1,55.896970,-10.909584,20.2,vehicular,25.5,30.2,
273.000,47,38,1,37,0,0,0,location,-9.48,-4.89,0.00,14.00,1,0,25.701151,7.599208,78.9,hst,23.0,23.2,
279.000,43,2,37,1,36,0,0,location,-5.44,-4.95,0.00,15.00,1,0,54.462817,-10.198019,28.5,vehicular,29.5,27.0,
280.000,33,38,2,37,1,0,0,location,-5.01,-4.46,0.00,161.00,1,0,39.432590,-3.521291,0.0,static,39.1,25.6,
280.000,43,37,2,36,1,0,0,location,-8.43,-3.05,0.00,1.00,1,1,54.462783,-10.198456,28.5,vehicular,27.2,29.6,
281.000,31,2,38,1,37,0,0,location,-5.01,-4.72,0.00,208.00,1,0,42.111265,5.703364,0.5,pedestrian,37.5,22.1,
281.000,33,2,38,1,37,0,0,location,-7.55,1.84,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,25.4,38.8,
281.000,40,2,37,1,36,0,0,location,-5.07,-4.63,0.00,10.00,1,0,55.569665,-7.235978,0.0,static,32.6,30.9,
282.000,31,38,2,37,1,0,0,location,-9.73,-3.25,0.00,1.00,1,1,42.111261,5.703365,0.5,pedestrian,21.9,37.3,
284.000,22,37,2,36,1,0,0,location,-6.68,-4.63,0.00,12.00,1,0,55.896416,-10.913337,20.2,vehicular,32.6,26.8,
284.000,40,37,2,36,1,0,0,location,-4.84,-1.09,0.00,3.00,1,1,55.569665,-7.235978,0.0,static,31.6,33.0,
285.000,22,2,37,1,36,0,0,location,-8.15,-3.01,0.00,1.00,1,1,55.896370,-10.913649,20.2,vehicular,26.9,32.8,
287.000,40,2,37,1,36,0,0,location,-4.92,-1.06,0.00,3.00,1,1,55.569665,-7.235978,0.0,static,33.5,32.2,
291.000,43,2,37,1,36,0,0,location,-5.46,-3.73,0.00,11.00,1,0,54.462404,-10.203263,28.5,vehicular,30.8,29.2,
292.000,43,37,2,36,1,0,0,location,-5.74,-0.38,0.00,1.00,1,1,54.462370,-10.203700,28.5,vehicular,29.4,30.9,
